Date,Journal_ID,Line_No,Account_Code,Account_Name,Dept_Code,Description,Debit,Credit,User_ID,Approval_Level,Posting_Type,Currency,Exchange_Rate,Audit_Flag,Net
2024-04-12,JRN-2024-0001,1,1300,Prepayments,OPS,Cr to Prepayments,0.0,494.72,U102,1,Reversal,GBP,1.0,0,-494.72
2024-04-12,JRN-2024-0001,2,5200,Rent Expense,OPS,Cr to Rent Expense,0.0,856.75,U102,1,Reversal,GBP,1.0,0,-856.75
2024-04-12,JRN-2024-0001,3,5400,Depreciation Expense,OPS,Cr to Depreciation Expense,0.0,1680.14,U102,1,Reversal,GBP,1.0,0,-1680.14
2024-04-12,JRN-2024-0001,4,5000,Cost of Goods Sold,OPS,Dr to Cost of Goods Sold,3031.61,0.0,U102,1,Reversal,GBP,1.0,0,3031.61
2024-12-25,JRN-2024-0002,1,3100,Retained Earnings,FIN,Dr to Retained Earnings,2288.3,0.0,U101,1,Manual,GBP,1.0,0,2288.3
2024-12-25,JRN-2024-0002,2,1200,Inventory,FIN,Cr to Inventory,0.0,2288.3,U101,1,Manual,GBP,1.0,0,-2288.3
2024-11-09,JRN-2024-0003,1,2100,Accruals,IT,Cr to Accruals,0.0,1293.94,U201,1,Automated,GBP,1.0,0,-1293.94
2024-11-09,JRN-2024-0003,2,5200,Rent Expense,IT,Dr to Rent Expense,1293.94,0.0,U201,1,Automated,GBP,1.0,0,1293.94
2024-07-06,JRN-2024-0004,1,5500,Interest Expense,MKT,Cr to Interest Expense,0.0,708.29,U103,1,Manual,GBP,1.0,1,-708.29
2024-07-06,JRN-2024-0004,2,5400,Depreciation Expense,MKT,Dr to Depreciation Expense,1417.25,0.0,U103,1,Manual,GBP,1.0,1,1417.25
2024-07-06,JRN-2024-0004,3,5300,Utilities Expense,MKT,Cr to Utilities Expense,0.0,3395.25,U103,1,Manual,GBP,1.0,1,-3395.25
2024-07-06,JRN-2024-0004,4,5300,Utilities Expense,MKT,Dr to Utilities Expense,2686.29,0.0,U103,1,Manual,GBP,1.0,1,2686.29
2024-01-21,JRN-2024-0005,1,4000,Sales Revenue,FIN,Cr to Sales Revenue,0.0,551.91,U103,2,Reversal,GBP,1.0,0,-551.91
2024-01-21,JRN-2024-0005,2,3000,Share Capital,FIN,Cr to Share Capital,0.0,2100.79,U103,2,Reversal,GBP,1.0,0,-2100.79
2024-01-21,JRN-2024-0005,3,1100,Accounts Receivable,FIN,Dr to Accounts Receivable,2652.7,0.0,U103,2,Reversal,GBP,1.0,0,2652.7
2024-09-20,JRN-2024-0006,1,5400,Depreciation Expense,IT,Dr to Depreciation Expense,726.16,0.0,U101,2,Manual,GBP,1.0,0,726.16
2024-09-20,JRN-2024-0006,2,1200,Inventory,IT,Cr to Inventory,0.0,1604.92,U101,2,Manual,GBP,1.0,0,-1604.92
